section,key,zh,english
opponent_name_selection,personalisations_are_up_to_date,个性化称呼已是最新,Personalisations are up to date
opponent_name_selection,dialog_title_opponent_name_selection,对手名称选择,Opponent Name Selection
opponent_name_selection,opponent_name,对手名,Opponent name
opponent_name_selection,none_of_the_above,以上都不是,None of the above
opponent_name_selection,text_prop_type,(文本),(text)
opponent_name_selection,integer_prop_type,整数,(integer)
opponent_name_selection,real_number_prop_type,(实数),(real number)
opponent_name_selection,save_prop_changes_warning,"配置方案 '{0}' 有未保存的更改。
点击 '是' 以保存这些更改并重启应用程序。
点击 '否' 以放弃这些更改",Profile '{0}' has unsaved changes.\Click 'Yes' to save these changes and restart the application.\Click 'No' to discard these changes
opponent_name_selection,save_prop_changes_warning_no_restart,"配置方案 '{0}' 有未保存的更改。
点击 '是' 以保存这些更改。
点击 '否' 以放弃这些更改",Profile '{0}' has unsaved changes.\Click 'Yes' to save these changes.\Click 'No' to discard these changes
opponent_name_selection,save_changes,保存更改(&S),&Save changes
opponent_name_selection,save_changes_title,保存更改？,Save changes?
opponent_name_selection,save_and_restart,保存配置方案设置并重启(&A),S&ave profile settings and restart
opponent_name_selection,game_filter_label,游戏过滤：(&G),&Game filter:
opponent_name_selection,show_common_props_label,显示常用(&O),Show c&ommon
opponent_name_selection,show_changed_props_label,显示更改(&H),Show c&hanged
opponent_name_selection,show_non_default_props_label,显示非默认(&O),Show n&on-default
opponent_name_selection,all_preferences_label,所有设置项,All Properties
opponent_name_selection,common_preferences_label,常用设置项,Common Properties
opponent_name_selection,unknown_sound_pack_language_text,"当前的语音包未指定语言。
点击“是”继续更新（将应用默认的英文语音包文件并设置语言为英语）。
点击“否”取消。","The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will apply the default English Sound Pack update files and set the language to English).\Click ""No"" to cancel."
opponent_name_selection,unknown_sound_pack_language_title,未定义语音包语言,No Sound Pack language defined
opponent_name_selection,unknown_driver_names_language_text,"当前语音包未指定语言。
点击“是”以继续更新（将下载默认的英文车手名更新）。
点击“否”以取消。","The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will download the default English driver name updates).\Click ""No"" to cancel."
opponent_name_selection,unknown_driver_names_language_title,未定义语音包语言,No Sound Pack language defined
opponent_name_selection,unknown_personalisations_language_text,"当前语音包未指定语言。
点击“是”以继续更新（将下载默认的英文个性化称呼）。
点击“否”以取消。","The current Sound Pack has no language specified.\Click ""Yes"" to proceed with the update (which will download the default English personalisations).\Click ""No"" to cancel."
opponent_name_selection,unknown_personalisations_language_title,未定义语音包语言,No Sound Pack language defined
opponent_name_selection,personalisation_label,我的名字：(&Y),M&y name:
opponent_name_selection,install_plugin_popup_text,需要一个插件才能与CrewChief配合工作。点击确定，CrewChief将安装它（您需要重启游戏）。\一旦安装完成，CrewChief不应再要求安装。\如果仍然提示，请在控制台窗口中查找更多关于安装失败的信息。,"needs a plugin to work with Crew Chief.  Click OK and Crew Chief will install it (you will need to restart the game).\\Once it's installed Crew Chief should not ask again.\If it does, look for more information in the Console Window for why installing it failed."
opponent_name_selection,install_plugin_popup_title,插件需要,Plugin Needed
opponent_name_selection,install_plugin_select_directory_start,请选择您安装的文件夹,Please browse for the folder where you installed
opponent_name_selection,install_plugin_select_directory_end,(未指定),(as it's not
opponent_name_selection,install_plugin_popup_enable_text,"CrewChief 可以自动为你启用插件。
如果你选择取消，则需要你自己在游戏界面中启用插件。

点击确定以启用插件（你需要重启游戏）。",Crew Chief can automatically enable the plugin for you.\If instead you select Cancel you will have to enable it yourself in the game UI.\\Click OK to enable the plugin (you will need to restart the game).
opponent_name_selection,install_plugin_popup_enable_title,插件未启用,Plugin Not Enabled
opponent_name_selection,install_plugin_popup_create_text,CrewChief 可以为你创建插件配置文件，如果你选择取消，则需要手动在游戏界面启用。点击确定以创建插件配置文件（你需要重启游戏），或点击取消返回,"Crew Chief can create the plugin config file for you, if you select Cancel you will have to enable it manually in the game UI. Click OK to create the plugin config file (you will need to restart the game) or Cancel to Return"
opponent_name_selection,install_plugin_popup_create_title,创建 CustomPluginVariables.JSON,Create CustomPluginVariables.JSON
opponent_name_selection,install_plugin_popup_error_text,插件安装或更新失败。请确保游戏未运行。错误：,Failed to Install or Update the Plugin.  Please make sure the game is not running. Error:
opponent_name_selection,install_plugin_popup_error_title,插件安装或更新失败,Plugin Install or Update failed
opponent_name_selection,install_plugin_dll_not_installed_text,插件可能无法工作，继续吗？\查看帮助 / 开始使用 / 游戏特定设置 /,"Plugin probably won't work, continue anyway?\\See Help / Getting Started / Game specific /"
opponent_name_selection,install_plugin_dll_not_installed_title,未安装,not installed
opponent_name_selection,install_speechplatform_popup_title,缺少依赖项,Missing dependency
opponent_name_selection,install_speechplatform_popup_text,"系统缺少语音识别引擎所需的一个依赖项。
点击确定转到下载位置
或取消返回",It appears that your system is missing a dependency for speech recogniser to work.\Press OK to get redirected to the download location\Or Cancel to return
opponent_name_selection,install_any_speechlanguage_popup_text,"系统缺少语音识别所需的依赖项。请下载并安装以下文件之一：MSSpeech_SR_en-GB_TELE.msi, MSSpeech_SR_en-US_TELE.msi, MSSpeech_SR_en-AU_TELE.msi, MSSpeech_SR_en-CA_TELE.msi 或 MSSpeech_SR_en-IN_TELE.msi。
点击确定以转到下载位置
或取消返回","It appears that your system is missing a dependency for speech recogniser to work. Please download and install one of the following MSSpeech_SR_en-GB_TELE.msi, MSSpeech_SR_en-US_TELE.msi,MSSpeech_SR_en-AU_TELE.msi, MSSpeech_SR_en-CA_TELE.msi or MSSpeech_SR_en-IN_TELE.msi.\Press OK to get redirected to the download location\Or Cancel to return"
opponent_name_selection,install_single_speechlanguage_popup_text_start,系统缺少语音识别引擎所需的一个依赖项。请下载并安装 MSSpeech_SR_,It appears that your system is missing a dependency for speech recogniser to work. Please download and install MSSpeech_SR_
opponent_name_selection,install_single_speechlanguage_popup_text_end,安装单语言语音包。点击确定转到下载位置，或取消返回,"_TELE.msi. Press OK to get redirected to the download location, Or Cancel to return"
opponent_name_selection,properties_form,CrewChief 配置设置项,Crew Chief Configuration Properties
opponent_name_selection,exit_without_saving,不保存退出(&X),E&xit without Saving
opponent_name_selection,restore_default_settings,恢复默认设置(&R),&Restore Default Settings
opponent_name_selection,search_box_default_text,搜索设置项（Ctrl+E）,Search for property (Ctrl+E)
opponent_name_selection,search_box_tooltip_line1,搜索不区分大小写，将匹配任何设置项名称或提示文本的部分内容,Search is not case-sensitive and will match any part of a property name or tooltip.
opponent_name_selection,search_box_tooltip_line_hint,提示：要搜索特定游戏的设置，请将“游戏”设为“所有设置项”并使用,"Hint: to search preferences specific to a game set Game to ""All Properties"" and use"
opponent_name_selection,search_box_tooltip_line_ACC,ACC - 适用于 Assetto Corsa Competizione,ACC - for Assetto Corsa Competizione
opponent_name_selection,search_box_tooltip_line_ACE,ACE - 适用于 Assetto Corsa EVO,ACE - for Assetto Corsa Evo
opponent_name_selection,search_box_tooltip_line_ACS,ACS - 用于 Assetto Corsa,ACS - for Assetto Corsa
opponent_name_selection,search_box_tooltip_line_AMS,AMS - 用于 Automobilista,AMS - for Automobilista
opponent_name_selection,search_box_tooltip_line_DIRT,DIRT - 适用于 Dirt Rally/2,DIRT - for Dirt Rally/2
opponent_name_selection,search_box_tooltip_line_GTR2,GTR —— 适用于 GTR 2,GTR - for GTR 2
opponent_name_selection,search_box_tooltip_line_IRACING,iRacing - 适用于 iRacing,iRacing - for iRacing
opponent_name_selection,search_box_tooltip_line_LMU,LMU - 适用于 Le Mans Ultimate,LMU - for Le Mans Ultimate
opponent_name_selection,search_box_tooltip_line_PCARS,pCARS - 适用于 Project CARS 1 2 和 3,PCARS - for Project CARS 1 2 and 3
opponent_name_selection,search_box_tooltip_line_PMR,PMR - 项目赛车,PMR - for Project Motor Racing
opponent_name_selection,search_box_tooltip_line_R3E,R3E - 为 RaceRoom 赛车体验,R3E - for RaceRoom Racing Experience
opponent_name_selection,search_box_tooltip_line_RBR,RBR - 用于 Richard Burns Rally,RBR - for Richard Burns Rally
opponent_name_selection,search_box_tooltip_line_RF1,rF1 - 适用于 rFactor 1,rF1 - for rFactor 1
opponent_name_selection,search_box_tooltip_line_RF2,rF2 - 适用于 rFactor 2,rF2 - for rFactor 2
opponent_name_selection,no_matches,无匹配项,No matches.
opponent_name_selection,reset_warning_text,这将把所有 CrewChief {0} 配置方案 '{1}' 的设置重置为默认值，确定吗？,"This will reset all the Crew Chief {0} profile '{1}' settings to their default values, are you sure?"
opponent_name_selection,reset_warning_title,将所有设置重置为默认值,Reset All Settings to Default Values
opponent_name_selection,chief_name_label,车队工程师语音：(&V),Chief &voice:
opponent_name_selection,spotter_name_label,观察员语音：(&V),Spotter &voice:
opponent_name_selection,codriver_name_label,领航员：(&D),Co-&driver:
opponent_name_selection,codriver_style_label,风格：(&S),&Style:
opponent_name_selection,codriver_style_number_first,数字优先,Number First
opponent_name_selection,codriver_style_direction_first,方向优先,Direction First
opponent_name_selection,codriver_style_descriptive,描述性,Descriptive
opponent_name_selection,codriver_style_number_first_reversed,数字优先倒序,Number First Reversed
opponent_name_selection,codriver_style_direction_first_reversed,方向优先反转,Direction First Reversed
opponent_name_selection,codriver_style_muted,静音（盲航）,Muted (Blind Rally)
opponent_name_selection,messages_audio_device_label,播报播放设备(&K),Messages playbac&k device
opponent_name_selection,background_audio_device_label,背景播放设备(&D),Background playback &device
opponent_name_selection,version,版本,Version
opponent_name_selection,the_application_must_be_restarted_to_check_for_updates,必须重启应用程序以检查更新。点击确定以重启应用程序。,The application must be restarted to check for updates. Click OK to restart the application.
opponent_name_selection,check_for_updates,强制检查更新(&U),Force &update check
opponent_name_selection,check_for_updates_title,强制检查更新,Force update check
opponent_name_selection,donate_link_text,捐赠以支持 CrewChief 开发,Donate to Support Crew Chief development
opponent_name_selection,toggle_manual_formation_lap,切换手动编队圈模式,Toggle manual formation lap mode
opponent_name_selection,read_corner_names_for_lap,读取当前圈的弯道名,Read corner names for current lap
opponent_name_selection,the_application_must_be_restarted_to_switch_between_circuit_and_rally_racing,切换赛道和拉力赛需重启程序。点击确定以重启应用。,The application must be restarted to switch between Circuit and Rally racing. Click OK to restart the application.
opponent_name_selection,switch_racing_type,切换比赛类型,Switch racing type
opponent_name_selection,all_categories_label,所有类别,All Categories
opponent_name_selection,ui_startup_and_paths_category_label,界面，启动与路径,"UI, Startup & Paths"
opponent_name_selection,audio_voice_and_controllers_category_label,音频、语音及控制器,"Audio, Voice & Controllers"
opponent_name_selection,spotter_category_label,观察员,Spotter
opponent_name_selection,codriver_category_label,领航员,Co-Driver
opponent_name_selection,flags_and_rules_category_label,旗语与规则,Flags & Rules
opponent_name_selection,message_frequencies_category_label,播报频率,Message Frequencies
opponent_name_selection,fuel_temps_and_damages_category_label,燃油、温度及损伤,"Fuel, Temperatures & Damage"
opponent_name_selection,timings_category_label,计时,Timings
opponent_name_selection,pit_stops_and_multiclass_category_label,进站与多级别,Pit Stops & Multiclass
opponent_name_selection,internationalisation_label,国际化,Internationalisation
opponent_name_selection,vr_settings_label,VR 设置,VR Settings
opponent_name_selection,misc_category_label,其他,Miscellaneous
opponent_name_selection,vip_category_label,重要设置项（VIP）,VIPs (Very Important Properties)
opponent_name_selection,new_category_label,此版本新增设置项,New Properties in this release
opponent_name_selection,debug_category_label,调试设置（主要供开发者使用）,Debug settings (mainly for developers)
opponent_name_selection,toggle_enable_cut_track_warnings,切换切赛道提醒 开启/关闭,Toggle cut track warnings on / off
opponent_name_selection,category_filter_label,类别过滤：(&T),Ca&tegory filter:
opponent_name_selection,user_profile_settings,配置方案设置：,Profile settings:
opponent_name_selection,user_profile,配置方案,Profiles
opponent_name_selection,user_profile_label,配置方案：(&P),&Profiles:
opponent_name_selection,active_label,当前启用：,currently active:
opponent_name_selection,profile,配置方案,Profile
opponent_name_selection,activate_profile,激活配置方案(&A),&Activate profile
opponent_name_selection,create_new_profile,创建配置方案(&C),&Create profile
opponent_name_selection,copy_settings_from_current,从当前选定的配置方案复制设置(&O),C&opy settings from current selected profile
opponent_name_selection,activate_new_profile,激活新配置方案并重启(&N),Activate &new profile and restart
opponent_name_selection,scan_for_controllers,扫描控制器(&L),Scan for Contro&llers
opponent_name_selection,cancel_scan,取消扫描(&E),Canc&el scan
opponent_name_selection,edit_macro_commands,命令宏编辑器(&E),Command macro &editor
opponent_name_selection,add_remove_actions,添加/删除操作(&R),Add/&Remove Actions
opponent_name_selection,vr_window_settings,SteamVR 覆盖层设置(&V),Steam&VR overlay settings
opponent_name_selection,available_windows_label,可见窗口：(&W),Visible &windows:
opponent_name_selection,controller_mappings_file_error_title,读取控制器映射错误,Error reading controller mappings
opponent_name_selection,controller_mappings_file_error_details_1,控制器映射文件,Controller mapping file
opponent_name_selection,controller_mappings_file_error_details_2,无效 - 没有可用的按钮映射。JSON 解析器的错误信息是：,is invalid - no button mappings will be available. Error message from JSON parsers is:
macro_editor,global_macro_settings,全局设置,Global Settings
macro_editor,available_macros,可用宏,Available macros
macro_editor,regular_macro_voice_command,常规类型,Regular Type
