section,key,zh,english
preferences,no_help_provided,未提供帮助,No help provided
preferences,trainee_chief_path,实习生,Trainee chief
preferences,acs_install_path,ACS 安装路径,ACS install path
preferences,ace_install_path,AC EVO 安装路径,AC EVO install path
preferences,ams_install_path,AMS 安装路径,AMS install path
preferences,rf1_install_path,rF1 安装路径,rF1 install path
preferences,asr_install_path,ASR 安装路径,ASR install path
preferences,rf2_install_path,rF2 安装路径,rF2 install path
preferences,lmu_install_path,LMU 安装路径,Le Mans Ultimate install path
preferences,rbr_install_path,RBR 安装路径,RBR install path
preferences,gtr2_install_path,GTR 2 安装路径,GTR 2 install path
preferences,f1_2018_install_path,F1 2018 安装路径,F1 2018 install path
preferences,acc_install_path,ACC 安装路径,ACC install path
preferences,acc_machine_ip,ACC 运行的机器的 IP 地址,IP address for the machine ACC is running on
preferences,ace_machine_ip,运行 ACC 的机器的 IP 地址,IP address for the machine ACE is running on
preferences,f1_2019_install_path,F1 2019 安装路径,F1 2019 install path
preferences,override_default_sound_pack_location,覆盖默认语音包位置,Override default Sound Pack location
preferences,enable_brake_damage_messages,启用刹车损伤播报,Enable brake damage messages
preferences,enable_acs_log_sectors_for_unknown_tracks,启用 ACS 未知赛道分段日志,Enable ACS log sectors for unknown tracks
preferences,enable_ace_log_sectors_for_unknown_tracks,启用 ACE 未知赛道分段日志,Enable ACE log sectors for unknown tracks
preferences,enable_brake_lock_warnings,启用刹车抱死提醒,Enable brake lock warnings
preferences,enable_brake_temp_warnings,启用刹车温度提醒,Enable brake temp warnings
preferences,enable_damage_messages,启用损伤播报,Enable damage messages
preferences,enable_driver_names,启用车手名,Enable driver names
preferences,enable_drs_messages,启用 DRS 播报,Enable DRS messages
preferences,enable_drs_beeps,启用 DRS 响铃,Enable DRS beeps
preferences,enable_fuel_messages,启用燃油播报,Enable fuel messages
preferences,enable_battery_messages,启用电量播报,Enable battery messages
preferences,enable_gap_messages,启用差距播报,Enable gap messages
preferences,gap_message_randomness,差距播报的随机性,Randomness of all gap ahead/behind messages
preferences,enable_green_light_messages,启用绿灯播报,Enable green light messages
preferences,enable_pearls_of_wisdom,启用金句,Enable pearls of wisdom
preferences,enable_pit_exit_brake_temp_warning,启用出维修道刹车温度提醒,Enable pit exit brake temp warning
preferences,enable_pit_exit_tyre_temp_warning,启用出维修道轮胎温度提醒,Enable pit exit tyre temp warning
preferences,enable_position_messages,启用位置播报,Enable position messages
preferences,enable_push_to_pass_messages,启用 push-to-pass 消息,Enable push to pass messages
preferences,enable_race_start_messages,启用正赛开始播报,Enable race start messages
preferences,enable_session_end_messages,启用场次结束播报,Enable session end messages
preferences,enable_spotter_in_timetrial,启用观察员在计时赛,Enable Spotter in timetrial
preferences,enable_suspension_damage_messages,启用悬挂损伤播报,Enable suspension damage messages
preferences,enable_track_and_air_temp_reports,启用赛道和气温播报,Enable track and air temp reports
preferences,enable_tyre_temp_warnings,启用轮胎温度提醒,Enable tyre temp warnings
preferences,enable_tyre_wear_warnings,启用轮胎磨损提醒,Enable tyre wear warnings
preferences,enable_wheel_spin_warnings,启用打滑提醒,Enable wheelspin warnings
preferences,enable_tyre_dirt_pickup_warnings,启用轮胎脏污拾取提醒,Enable tyre dirt pickup warnings
preferences,attempt_pcars_opponent_pit_detection,尝试检测 pCARS 对手进站,Attempt pCARS opponent pit detection
preferences,cache_sounds,缓存语音,Cache sounds
preferences,disable_acs_yellow_flag_warnings,禁用 ACS 黄旗提醒,Disable ACS yellow flag warnings
preferences,disable_ace_yellow_flag_warnings,禁用 ACE 黄旗提醒,Disable ACE yellow flag warnings
preferences,disable_pcars_prac_and_qual_pole_deltas,禁用 pCARS 练习和排位杆位差距,Disable pCARS prac and qual pole deltas
preferences,launch_acs,启动 ACS,Launch ACS
preferences,launch_ace,启动 AC EVO,Launch AC EVO
preferences,play_cut_track_warnings,播报切赛道提醒,Play cut track warnings
preferences,spotter_enable_three_wide_left_and_right,观察员启用三辆并排左右播报,Spotter enable three wide left and right
preferences,use_alternate_beeps,使用备用提示音,Use alternate beeps
preferences,use_fahrenheit,使用华氏温度,Use Fahrenheit for temps
preferences,use_listen_beep,使用听觉提示音,Use listen beep
preferences,use_listen_end_beep,使用监听结束提示音,Use end of listening beep
preferences,acs_practice_time_minuts,ACS 练习时间（分钟）,ACS practice time minutes
preferences,ace_practice_time_minutes,ACC 练习时间分钟,AC EVO practice time minutes
preferences,min_time_between_personalised_messages,最小个性化播报间隔时间,Min time between personalised messages
preferences,minimum_time_between_pearls_of_wisdom,金句最小间隔时间,Min time between pearls of wisdom
preferences,spotter_hold_repeat_frequency,观察员保持重复频率,Spotter hold repeat frequency
preferences,spotter_hold_repeat_frequency_ovals,观察员保持重复频率（椭圆赛道）,Spotter hold repeat frequency (ovals)
preferences,enable_oval_spotter_enhancements,启用椭圆赛道增强观察员,Enable enhanced spotter on ovals
preferences,spotter_update_interval,观察员更新间隔,Spotter update interval
preferences,spotter_off_during_qualifying,排位时观察员关闭,Spotter off during qualifying
preferences,acc_udp_data_port,ACC UDP 端口,ACC UDP port
preferences,ace_udp_data_port,ACE UDP 端口,ACE UDP port
preferences,udp_data_port,pCARS UDP 端口,pCARS UDP port
preferences,pmr_udp_port,PMR UDP 端口,PMR UDP port
preferences,f1_2018_udp_data_port,F1 2018 UDP 端口,F1 2018 UDP port
preferences,f1_2019_udp_data_port,F1 2019 UDP 端口,F1 2019 UDP port
preferences,f1_2020_udp_data_port,F1 2020 UDP 端口,F1 2020 UDP port
preferences,f1_2021_udp_data_port,F1 2021 UDP 端口,F1 2021 UDP port
preferences,f1_2022_udp_data_port,F1 2022 UDP 端口,F1 2022 UDP port
preferences,f1_2023_udp_data_port,F1 2023 UDP 端口,F1 2023 UDP port
preferences,acs_spotter_car_length,ACS 观察员默认车身长度,ACS Spotter default car length
preferences,ace_spotter_car_length,AC EVO 观察员默认车身长度,AC EVO Spotter default car length
preferences,acc_spotter_car_length,ACC 观察员默认车身长度,ACC Spotter default car length
preferences,ams_spotter_car_length,AMS 观察员默认车身长度,AMS Spotter default car length
preferences,pcars_spotter_car_length,pCARS 观察员默认车身长度,pCARS Spotter default car length
preferences,pcars2_spotter_car_length,pCARS2 观察员默认车身长度,pCARS2 Spotter default car length
preferences,ams2_spotter_car_length,AMS2 观察员默认车身长度,AMS2 Spotter default car length
preferences,r3e_spotter_car_length,R3E 观察员默认车身长度,R3E Spotter default car length
preferences,rf1_spotter_car_length,rF1 观察员默认车身长度,rF1 Spotter default car length
preferences,rf2_spotter_car_length,rF2 观察员默认车身长度,rF2 Spotter default car length
preferences,lmu_spotter_car_length,LMU 观察员默认车身长度,LMU Spotter default car length
preferences,gtr2_spotter_car_length,GTR 2 观察员默认车身长度,GTR 2 Spotter default car length
preferences,f1_2018_spotter_car_length,F1 2018 观察员默认车身长度,F1 2018 Spotter default car length
preferences,f1_2019_spotter_car_length,F1 2019 观察员默认车身长度,F1 2019 Spotter default car length
preferences,f1_2020_spotter_car_length,F1 2020 观察员默认车身长度,F1 2020 Spotter default car length
preferences,f1_2021_spotter_car_length,F1 2021 观察员默认车身长度,F1 2021 Spotter default car length
preferences,f1_2022_spotter_car_length,F1 2022 观察员默认车身长度,F1 2022 Spotter default car length
preferences,f1_2023_spotter_car_length,F1 2023 观察员默认车身长度,F1 2023 Spotter default car length
preferences,spotter_gap_for_clear,观察员安全判定车距,Spotter gap for clear
preferences,messages_volume,播报音量(&M),&Messages volume
preferences,background_volume,背景音量(&B),&Background volume
preferences,update_interval,更新间隔,Update interval
preferences,use_sweary_messages,使用粗口播报,Use sweary messages
preferences,enable_spotter,启用观察员,Enable Spotter
preferences,speech_recognition_country,语音识别国家,Speech recognition country
preferences,ui_language,界面语言,UI language
preferences,spotter_car_length,观察员车身长度,Spotter car length
preferences,time_after_race_start_for_spotter,正赛开始后观察员播报时间,Time after race start for spotter
preferences,min_speed_for_spotter,观察员触发的最低车速,Min speed for spotter
preferences,max_closing_speed_for_spotter,观察员判定的最大接近速度,Max closing speed for spotter
preferences,spotter_clear_delay,观察员安全判定延迟,Spotter clear delay
preferences,spotter_overlap_delay,观察员并排判定延迟,Spotter overlap delay
preferences,custom_device_guid,自定义设备 GUID,Custom device GUID
preferences,launch_raceroom,启动 R3E,Launch R3E
preferences,r3e_launch_params,R3E 启动参数,R3E launch params
