original_english,corrected_chinese
# ===== 继承自波次 1、2 的口径（同一英文在多波出现，译法必须一致）=====
stay behind,跟在后面
it looks like,看起来
hold position behind,保持位置，跟在
option tyres,选择胎
options,选择胎
# 波次 3+4 人工修正。规则同前两波：按 original_english 索引，含逗号的英文必须加引号。
#
# ===== 残留英文 =====
"critical battery level, we're really low on energy",电量告急，能量严重不足
#
# ===== battery：拼接片段，量词跟在数字后 =====
# 「百分比」放在数字后拼不成句（三十百分比），改成能拼的「个百分点」
percent,个百分点
percent remaining,个百分点剩余
percent battery remaining,个百分点的电量
percent of charge remaining,个百分点的电量
percent of your battery,个百分点的电量
percent of your energy,个百分点的能量
percent of your remaining battery,个百分点的剩余电量
percent per lap,个百分点每圈
laps of charge remaining,圈的电量
laps of energy remaining,圈的能量
laps remaining in the battery,圈的电量
minutes left in the battery,分钟的电量
minutes of charge remaining,分钟的电量
minutes of energy remaining,分钟的能量
we'll get about,大约还能跑
we're good for another,还能再跑
#
# ===== battery：电池 → 电量（说的是剩余量，不是那块硬件）=====
"this battery is about to run out, mate",电快用完了，老兄
"this battery is had it, it's about to run out",电撑不住了，快用完了
this battery is pretty much done,电基本用完了
this battery will last about 5 more minutes,电还能撑大约五分钟
there's about 10 minutes left in this battery,电还剩大约十分钟
there's about 5 minutes left in this battery,电还剩大约五分钟
there's one lap left in this battery,电还剩一圈
we think about 2 laps left in this battery,估计电还剩两圈
we've got 2 minutes left in this battery,电还剩两分钟
we've got about 5 more minutes on this battery,电还剩大约五分钟
the battery's has got plenty of charge in it,电量充足
2 laps remaining in the battery,电量还剩两圈
#
# ===== driver_swaps：stint 统一「这一棒」（耐力赛换手的说法）=====
10 minutes left in this driver stint,这一棒还剩十分钟
5 minutes left in this driver stint,这一棒还剩五分钟
2 minutes remaining on this driver stint,这一棒还剩两分钟
15 minutes of this driver stint remaining,这一棒还剩十五分钟
15 minutes of this stint left,这一棒还剩十五分钟
5 minutes left in this stint,这一棒还剩五分钟
10 minutes left in this stint before we need a driver swap,这一棒还剩十分钟，之后要换手
"10 minutes left in this stint, we'll need a driver swap",这一棒还剩十分钟，我们要换手
we got 2 minutes left of this driver stint,这一棒还剩两分钟
we'll need to swap in 2 minutes,两分钟后换手
#
# ===== engine_monitor：引擎统一（不用「发动机」）=====
your engine temperatures are looking better now,引擎温度好转了
your engine temperatures are now back to normal,引擎温度恢复正常了
"your engine temperatures are okay, all clear on engine temperatures",引擎温度正常，都没问题
"restart it, get the clutch it next time",重新打火，下次记得带离合
"don't rush, get it running, back it back in the race",别急，打着火，慢慢回到比赛里
"fire it back up, get back into the fray",重新打火，回到场上
restart it and get on it,重新打火，跟上去
#
# ===== mandatory_pit_stops：prime/option 译反了，而且「一级方程式轮胎」离谱 =====
# prime = 标准胎（较硬的那套），option = 选择胎（较软）。模型把两个都译成「软胎」
box this lap for prime tyres,本圈进站换标准胎
box this lap for primes,本圈进站换标准胎
pit this lap for prime tyres,本圈进站换标准胎
in this lap for primes,本圈换标准胎
in this lap for primes tyres,本圈换标准胎
you can now fit prime tyres,现在可以换标准胎
you can now put primes on,现在可以换标准胎
you can now switch to primes,现在可以换标准胎
we can now switch to primes,现在可以换标准胎
box this lap for options,本圈进站换选择胎
pit this lap for options,本圈进站换选择胎
in this lap for options,本圈换选择胎
in this lap for option tyres,本圈换选择胎
you can now fit option tyres,现在可以换选择胎
you can now switch to options,现在可以换选择胎
you can put options on,可以换选择胎
we can now fit options,现在可以换选择胎
#
# ===== mandatory_pit_stops：左右颠倒 / 语序 =====
"acknowledged, we'll change rear left only",收到，只换左后胎
"acknowledged, we'll change front right only",收到，只换右前胎
#
# ===== frozen_order：right 被当成「正确」，还有一处反义 =====
line up in the right column,排到右列
in the right lane,在右车道
# pass 是超过，不是跟随
pass the safety car,超过安全车
standing start now,现在是静止起步
kilometres per hour,公里每小时
miles per hour,英里每小时
you're ahead of a guy you should be behind,你超到了本该跟着的车前面
you're ahead of a guy you should be following,你超到了本该跟着的车前面
"you're ahead of this guy, you should be behind him",你超到他前面了，本该跟在后面
#
# ===== aero 沿用波次 2 的「空力」=====
"acknowledged, no aero fix at the next pit stop",收到，下次进站不修空力
"acknowledged, we'll fix front and rear aero",收到，前后空力都修
"acknowledged, we're not gonna fix the aero",收到，空力不修了
"copy that, no aero fixes",收到，空力不修
"copy that, no aero fixes this time",收到，这次空力不修
"copy that, we'll fix your front and your rear aero",收到，前后空力都修
"understood, we'll fix front and rear aero",明白，前后空力都修
"understood, we're not gonna fix the aero",明白，空力不修了
#
# ===== multiclass：组别名是专有名词，一律保留原文 =====
# 机翻把GT300 拆成「GT3零」、GTC和GTE都译成「GT」（尾字母丢失，两个组别变成同一个）
GT1,GT1
